MAL_ID,rank
41467,1
5114,2
43608,3
9253,4
28977,5
38524,6
39486,7
9969,8
11061,9
820,10
15417,11
42938,12
47917,13
34096,14
35180,15
4181,16
918,17
28851,18
15335,19
37987,20
2904,21
35247,22
37491,23
32281,24
19,25
47778,26
36838,27
40682,28
37510,29
40028,30
31758,31
32935,32
199,33
48583,34
17074,35
50172,36
44074,37
50160,38
1,39
263,40
53273,41
24701,42
33095,43
37521,44
48569,45
2921,46
44511,47
45576,48
46102,49
44,50
21939,51
1575,52
33050,53
245,54
50265,55
41084,56
21,57
34599,58
164,59
457,60
33352,61
23273,62
5258,63
431,64
40748,65
40591,66
40434,67
11665,68
36862,69
28891,70
42310,71
40456,72
2001,73
34591,74
22135,75
35760,76
1535,77
3786,78
38329,79
7311,80
28957,81
19647,82
37991,83
31757,84
10379,85
12355,86
32983,87
40834,88
28735,89
4565,90
7785,91
53236,92
11741,93
40417,94
49722,95
36098,96
33,97
5300,98
32,99
21329,100
40664,101
170,102
47194,103
12365,104
50330,105
40776,106
4282,107
877,108
437,108
16498,109
35839,111
38474,112
37779,113
7472,114
35843,115
38000,116
801,117
30484,118
578,119
33049,119
30654,121
31933,122
48561,123
12431,124
38475,125
30276,126
205,127
32182,128
25777,128
3297,130
36649,131
49310,132
44087,133
6114,134
44070,135
11981,136
37379,137
38040,138
37208,139
10165,140
42203,141
11577,142
31181,143
40059,144
49721,145
392,146
36999,147
38450,148
24687,149
36885,150
21899,151
20583,152
26055,153
37105,154
45556,155
38889,156
467,157
2246,158
34612,159
33255,160
40787,161
46095,162
39741,163
5028,164
36538,165
25781,166
136,167
37999,168
32366,169
35557,170
5205,171
37965,172
35851,173
40730,174
36275,175
39808,176
50602,177
39551,178
31646,179
14397,180
5941,181
30709,182
22789,183
5,184
49926,185
2251,186
41025,187
9260,188
10162,189
39547,190
48653,191
37515,192
11979,193
39535,194
9756,195
38883,196
777,197
572,198
10030,199
50612,200
6945,201
9617,202
39587,203
30,204
13601,205
39533,206
42984,207
17389,208
22535,209
5081,210
10937,211
39247,212
7655,213
20651,214
5040,215
12029,216
338,217
37095,218
9989,219
28701,220
185,221
6594,222
39112,223
5420,224
34534,225
5341,226
2559,227
41487,228
4081,229
1210,230
12531,231
34240,232
31043,233
3784,234
137,235
1365,236
30230,237
31988,238
24415,239
11917,240
38826,241
45,242
13125,243
25835,244
10863,245
44940,246
2402,247
57,248
30346,249
38691,250
9735,251
10408,252
486,253
49052,254
49918,255
10087,256
19363,257
42886,258
50528,259
3002,260
44042,261
6675,262
48736,263
2685,264
32937,265
43,266
1698,267
329,268
2418,269
759,270
41457,271
49596,272
264,273
22507,274
34798,275
43325,276
49909,277
23327,278
50594,279
513,280
523,281
28805,282
38731,283
139,284
49701,284
36371,286
10271,287
31812,288
1735,289
36990,290
4921,291
37450,292
1033,293
32188,294
5690,295
31240,296
44055,297
40784,298
37055,299
11843,300
34036,301
37520,302
37989,303
40052,304
48661,305
265,306
46654,307
33051,307
50709,309
1842,310
38234,311
2966,312
15227,313
18115,314
16894,314
11977,316
512,317
627,318
585,319
37078,319
9863,321
38003,322
38680,323
3091,324
23847,325
49114,326
42498,326
33674,327
50380,328
35466,329
38249,330
6,331
372,332
5460,333
1142,334
45577,335
12115,336
32867,337
51805,338
42897,339
6811,340
16664,341
25681,342
6864,343
40211,344
558,345
3226,346
40729,347
35838,348
2150,348
18195,350
35677,351
1453,352
19123,353
32843,354
440,355
40853,356
37171,357
7674,358
34636,359
10800,360
22297,361
18617,362
138,363
34537,364
49590,365
23623,366
38481,367
1519,368
40852,369
25537,370
35111,371
1889,372
962,373
235,374
32005,375
38088,376
41361,377
39166,377
7791,378
28171,379
28675,380
9890,381
30503,382
853,383
4107,384
40911,385
232,387
47,387
28223,388
813,389
51367,391
36946,392
40421,393
49053,394
36296,395
37962,396
18,397
186,398
50325,399
33323,400
1430,401
37514,402
42894,403
11597,404
49521,405
12859,406
31715,407
51096,408
39792,409
239,410
36370,411
3701,412
1604,413
35857,414
4477,415
52865,416
